query-id	corpus-id	score
s0	doc75490	1
s1	doc75490	1
s2	doc75490	1
s3	doc75490	1
s4	doc75490	1
s5	doc75490	1
s6	doc75490	1
s7	doc75490	1
s8	doc75490	1
s9	doc75490	1
s10	doc118371	1
s11	doc118371	1
s12	doc118371	1
s13	doc118371	1
s14	doc118371	1
s15	doc118371	1
s16	doc118371	1
s17	doc118371	1
s18	doc118371	1
s19	doc118371	1
s20	doc1271114	1
s21	doc1271114	1
s22	doc1271114	1
s23	doc1271114	1
s24	doc1271114	1
s25	doc1271114	1
s26	doc1271114	1
s27	doc1271114	1
s28	doc1271114	1
s29	doc1271114	1
s30	doc288512	1
s31	doc288512	1
s32	doc288512	1
s33	doc288512	1
s34	doc288512	1
s35	doc288512	1
s36	doc288512	1
s37	doc288512	1
s38	doc288512	1
s39	doc288512	1
s40	doc299828	1
s41	doc299828	1
s42	doc299828	1
s43	doc299828	1
s44	doc299828	1
s45	doc299828	1
s46	doc299828	1
s47	doc299828	1
s48	doc299828	1
s49	doc299828	1
s50	doc1572384	1
s51	doc1572384	1
s52	doc1572384	1
s53	doc1572384	1
s54	doc1572384	1
s55	doc1572384	1
s56	doc1572384	1
s57	doc1572384	1
s58	doc1572384	1
s59	doc1572384	1
s60	doc5639	1
s61	doc5639	1
s62	doc5639	1
s63	doc5639	1
s64	doc5639	1
s65	doc5639	1
s66	doc5639	1
s67	doc5639	1
s68	doc5639	1
s69	doc5639	1
s70	doc609258	1
s71	doc609258	1
s72	doc609258	1
s73	doc609258	1
s74	doc609258	1
s75	doc609258	1
s76	doc609258	1
s77	doc609258	1
s78	doc609258	1
s79	doc609258	1
s80	doc1483231	1
s81	doc1483231	1
s82	doc1483231	1
s83	doc1483231	1
s84	doc1483231	1
s85	doc1483231	1
s86	doc1483231	1
s87	doc1483231	1
s88	doc1483231	1
s89	doc1483231	1
s90	doc1421011	1
s91	doc1421011	1
s92	doc1421011	1
s93	doc1421011	1
s94	doc1421011	1
s95	doc1421011	1
s96	doc1421011	1
s97	doc1421011	1
s98	doc1421011	1
s99	doc1421011	1
s100	doc1853478	1
s101	doc1853478	1
s102	doc1853478	1
s103	doc1853478	1
s104	doc1853478	1
s105	doc1853478	1
s106	doc1853478	1
s107	doc1853478	1
s108	doc1853478	1
s109	doc1853478	1
s110	doc1621320	1
s111	doc1621320	1
s112	doc1621320	1
s113	doc1621320	1
s114	doc1621320	1
s115	doc1621320	1
s116	doc1621320	1
s117	doc1621320	1
s118	doc1621320	1
s119	doc1621320	1
s120	doc881307	1
s121	doc881307	1
s122	doc881307	1
s123	doc881307	1
s124	doc881307	1
s125	doc881307	1
s126	doc881307	1
s127	doc881307	1
s128	doc881307	1
s129	doc881307	1
s130	doc227773	1
s131	doc227773	1
s132	doc227773	1
s133	doc227773	1
s134	doc227773	1
s135	doc227773	1
s136	doc227773	1
s137	doc227773	1
s138	doc227773	1
s139	doc227773	1
s140	doc1537526	1
s141	doc1537526	1
s142	doc1537526	1
s143	doc1537526	1
s144	doc1537526	1
s145	doc1537526	1
s146	doc1537526	1
s147	doc1537526	1
s148	doc1537526	1
s149	doc1537526	1
s150	doc63837	1
s151	doc63837	1
s152	doc63837	1
s153	doc63837	1
s154	doc63837	1
s155	doc63837	1
s156	doc63837	1
s157	doc63837	1
s158	doc63837	1
s159	doc63837	1
s160	doc1340522	1
s161	doc1340522	1
s162	doc1340522	1
s163	doc1340522	1
s164	doc1340522	1
s165	doc1340522	1
s166	doc1340522	1
s167	doc1340522	1
s168	doc1340522	1
s169	doc1340522	1
s170	doc1001665	1
s171	doc1001665	1
s172	doc1001665	1
s173	doc1001665	1
s174	doc1001665	1
s175	doc1001665	1
s176	doc1001665	1
s177	doc1001665	1
s178	doc1001665	1
s179	doc1001665	1
s180	doc749832	1
s181	doc749832	1
s182	doc749832	1
s183	doc749832	1
s184	doc749832	1
s185	doc749832	1
s186	doc749832	1
s187	doc749832	1
s188	doc749832	1
s189	doc749832	1
s190	doc1506852	1
s191	doc1506852	1
s192	doc1506852	1
s193	doc1506852	1
s194	doc1506852	1
s195	doc1506852	1
s196	doc1506852	1
s197	doc1506852	1
s198	doc1506852	1
s199	doc1506852	1
s200	doc1675773	1
s201	doc1675773	1
s202	doc1675773	1
s203	doc1675773	1
s204	doc1675773	1
s205	doc1675773	1
s206	doc1675773	1
s207	doc1675773	1
s208	doc1675773	1
s209	doc1675773	1
s210	doc1767693	1
s211	doc1767693	1
s212	doc1767693	1
s213	doc1767693	1
s214	doc1767693	1
s215	doc1767693	1
s216	doc1767693	1
s217	doc1767693	1
s218	doc1767693	1
s219	doc1767693	1
s220	doc1147644	1
s221	doc1147644	1
s222	doc1147644	1
s223	doc1147644	1
s224	doc1147644	1
s225	doc1147644	1
s226	doc1147644	1
s227	doc1147644	1
s228	doc1147644	1
s229	doc1147644	1
s230	doc987211	1
s231	doc987211	1
s232	doc987211	1
s233	doc987211	1
s234	doc987211	1
s235	doc987211	1
s236	doc987211	1
s237	doc987211	1
s238	doc987211	1
s239	doc987211	1
s240	doc320180	1
s241	doc320180	1
s242	doc320180	1
s243	doc320180	1
s244	doc320180	1
s245	doc320180	1
s246	doc320180	1
s247	doc320180	1
s248	doc320180	1
s249	doc320180	1
s250	doc2437009	1
s251	doc2437009	1
s252	doc2437009	1
s253	doc2437009	1
s254	doc2437009	1
s255	doc2437009	1
s256	doc2437009	1
s257	doc2437009	1
s258	doc2437009	1
s259	doc2437009	1
s260	doc777662	1
s261	doc777662	1
s262	doc777662	1
s263	doc777662	1
s264	doc777662	1
s265	doc777662	1
s266	doc777662	1
s267	doc777662	1
s268	doc777662	1
s269	doc777662	1
s270	doc1421319	1
s271	doc1421319	1
s272	doc1421319	1
s273	doc1421319	1
s274	doc1421319	1
s275	doc1421319	1
s276	doc1421319	1
s277	doc1421319	1
s278	doc1421319	1
s279	doc1421319	1
s280	doc341515	1
s281	doc341515	1
s282	doc341515	1
s283	doc341515	1
s284	doc341515	1
s285	doc341515	1
s286	doc341515	1
s287	doc341515	1
s288	doc341515	1
s289	doc341515	1
s290	doc2637182	1
s291	doc2637182	1
s292	doc2637182	1
s293	doc2637182	1
s294	doc2637182	1
s295	doc2637182	1
s296	doc2637182	1
s297	doc2637182	1
s298	doc2637182	1
s299	doc2637182	1
s300	doc980420	1
s301	doc980420	1
s302	doc980420	1
s303	doc980420	1
s304	doc980420	1
s305	doc980420	1
s306	doc980420	1
s307	doc980420	1
s308	doc980420	1
s309	doc980420	1
s310	doc1242983	1
s311	doc1242983	1
s312	doc1242983	1
s313	doc1242983	1
s314	doc1242983	1
s315	doc1242983	1
s316	doc1242983	1
s317	doc1242983	1
s318	doc1242983	1
s319	doc1242983	1
s320	doc28997	1
s321	doc28997	1
s322	doc28997	1
s323	doc28997	1
s324	doc28997	1
s325	doc28997	1
s326	doc28997	1
s327	doc28997	1
s328	doc28997	1
s329	doc28997	1
s330	doc437321	1
s331	doc437321	1
s332	doc437321	1
s333	doc437321	1
s334	doc437321	1
s335	doc437321	1
s336	doc437321	1
s337	doc437321	1
s338	doc437321	1
s339	doc437321	1
s340	doc727135	1
s341	doc727135	1
s342	doc727135	1
s343	doc727135	1
s344	doc727135	1
s345	doc727135	1
s346	doc727135	1
s347	doc727135	1
s348	doc727135	1
s349	doc727135	1
s350	doc1734347	1
s351	doc1734347	1
s352	doc1734347	1
s353	doc1734347	1
s354	doc1734347	1
s355	doc1734347	1
s356	doc1734347	1
s357	doc1734347	1
s358	doc1734347	1
s359	doc1734347	1
s360	doc2662650	1
s361	doc2662650	1
s362	doc2662650	1
s363	doc2662650	1
s364	doc2662650	1
s365	doc2662650	1
s366	doc2662650	1
s367	doc2662650	1
s368	doc2662650	1
s369	doc2662650	1
s370	doc1280448	1
s371	doc1280448	1
s372	doc1280448	1
s373	doc1280448	1
s374	doc1280448	1
s375	doc1280448	1
s376	doc1280448	1
s377	doc1280448	1
s378	doc1280448	1
s379	doc1280448	1
s380	doc56263	1
s381	doc56263	1
s382	doc56263	1
s383	doc56263	1
s384	doc56263	1
s385	doc56263	1
s386	doc56263	1
s387	doc56263	1
s388	doc56263	1
s389	doc56263	1
s390	doc377840	1
s391	doc377840	1
s392	doc377840	1
s393	doc377840	1
s394	doc377840	1
s395	doc377840	1
s396	doc377840	1
s397	doc377840	1
s398	doc377840	1
s399	doc377840	1
s400	doc182856	1
s401	doc182856	1
s402	doc182856	1
s403	doc182856	1
s404	doc182856	1
s405	doc182856	1
s406	doc182856	1
s407	doc182856	1
s408	doc182856	1
s409	doc182856	1
s410	doc16329	1
s411	doc16329	1
s412	doc16329	1
s413	doc16329	1
s414	doc16329	1
s415	doc16329	1
s416	doc16329	1
s417	doc16329	1
s418	doc16329	1
s419	doc16329	1
s420	doc773046	1
s421	doc773046	1
s422	doc773046	1
s423	doc773046	1
s424	doc773046	1
s425	doc773046	1
s426	doc773046	1
s427	doc773046	1
s428	doc773046	1
s429	doc773046	1
s430	doc1005625	1
s431	doc1005625	1
s432	doc1005625	1
s433	doc1005625	1
s434	doc1005625	1
s435	doc1005625	1
s436	doc1005625	1
s437	doc1005625	1
s438	doc1005625	1
s439	doc1005625	1
s440	doc1839864	1
s441	doc1839864	1
s442	doc1839864	1
s443	doc1839864	1
s444	doc1839864	1
s445	doc1839864	1
s446	doc1839864	1
s447	doc1839864	1
s448	doc1839864	1
s449	doc1839864	1
s450	doc378695	1
s451	doc378695	1
s452	doc378695	1
s453	doc378695	1
s454	doc378695	1
s455	doc378695	1
s456	doc378695	1
s457	doc378695	1
s458	doc378695	1
s459	doc378695	1
s460	doc100720	1
s461	doc100720	1
s462	doc100720	1
s463	doc100720	1
s464	doc100720	1
s465	doc100720	1
s466	doc100720	1
s467	doc100720	1
s468	doc100720	1
s469	doc100720	1
s470	doc499776	1
s471	doc499776	1
s472	doc499776	1
s473	doc499776	1
s474	doc499776	1
s475	doc499776	1
s476	doc499776	1
s477	doc499776	1
s478	doc499776	1
s479	doc499776	1
s480	doc676238	1
s481	doc676238	1
s482	doc676238	1
s483	doc676238	1
s484	doc676238	1
s485	doc676238	1
s486	doc676238	1
s487	doc676238	1
s488	doc676238	1
s489	doc676238	1
s490	doc2418864	1
s491	doc2418864	1
s492	doc2418864	1
s493	doc2418864	1
s494	doc2418864	1
s495	doc2418864	1
s496	doc2418864	1
s497	doc2418864	1
s498	doc2418864	1
s499	doc2418864	1
s500	doc165356	1
s501	doc165356	1
s502	doc165356	1
s503	doc165356	1
s504	doc165356	1
s505	doc165356	1
s506	doc165356	1
s507	doc165356	1
s508	doc165356	1
s509	doc165356	1
s510	doc2227446	1
s511	doc2227446	1
s512	doc2227446	1
s513	doc2227446	1
s514	doc2227446	1
s515	doc2227446	1
s516	doc2227446	1
s517	doc2227446	1
s518	doc2227446	1
s519	doc2227446	1
s520	doc413160	1
s521	doc413160	1
s522	doc413160	1
s523	doc413160	1
s524	doc413160	1
s525	doc413160	1
s526	doc413160	1
s527	doc413160	1
s528	doc413160	1
s529	doc413160	1
s530	doc765130	1
s531	doc765130	1
s532	doc765130	1
s533	doc765130	1
s534	doc765130	1
s535	doc765130	1
s536	doc765130	1
s537	doc765130	1
s538	doc765130	1
s539	doc765130	1
s540	doc1311540	1
s541	doc1311540	1
s542	doc1311540	1
s543	doc1311540	1
s544	doc1311540	1
s545	doc1311540	1
s546	doc1311540	1
s547	doc1311540	1
s548	doc1311540	1
s549	doc1311540	1
s550	doc251043	1
s551	doc251043	1
s552	doc251043	1
s553	doc251043	1
s554	doc251043	1
s555	doc251043	1
s556	doc251043	1
s557	doc251043	1
s558	doc251043	1
s559	doc251043	1
s560	doc913603	1
s561	doc913603	1
s562	doc913603	1
s563	doc913603	1
s564	doc913603	1
s565	doc913603	1
s566	doc913603	1
s567	doc913603	1
s568	doc913603	1
s569	doc913603	1
s570	doc453266	1
s571	doc453266	1
s572	doc453266	1
s573	doc453266	1
s574	doc453266	1
s575	doc453266	1
s576	doc453266	1
s577	doc453266	1
s578	doc453266	1
s579	doc453266	1
s580	doc1076899	1
s581	doc1076899	1
s582	doc1076899	1
s583	doc1076899	1
s584	doc1076899	1
s585	doc1076899	1
s586	doc1076899	1
s587	doc1076899	1
s588	doc1076899	1
s589	doc1076899	1
s590	doc588762	1
s591	doc588762	1
s592	doc588762	1
s593	doc588762	1
s594	doc588762	1
s595	doc588762	1
s596	doc588762	1
s597	doc588762	1
s598	doc588762	1
s599	doc588762	1
s600	doc1341734	1
s601	doc1341734	1
s602	doc1341734	1
s603	doc1341734	1
s604	doc1341734	1
s605	doc1341734	1
s606	doc1341734	1
s607	doc1341734	1
s608	doc1341734	1
s609	doc1341734	1
s610	doc1015457	1
s611	doc1015457	1
s612	doc1015457	1
s613	doc1015457	1
s614	doc1015457	1
s615	doc1015457	1
s616	doc1015457	1
s617	doc1015457	1
s618	doc1015457	1
s619	doc1015457	1
s620	doc2325522	1
s621	doc2325522	1
s622	doc2325522	1
s623	doc2325522	1
s624	doc2325522	1
s625	doc2325522	1
s626	doc2325522	1
s627	doc2325522	1
s628	doc2325522	1
s629	doc2325522	1
s630	doc2250978	1
s631	doc2250978	1
s632	doc2250978	1
s633	doc2250978	1
s634	doc2250978	1
s635	doc2250978	1
s636	doc2250978	1
s637	doc2250978	1
s638	doc2250978	1
s639	doc2250978	1
s640	doc1189807	1
s641	doc1189807	1
s642	doc1189807	1
s643	doc1189807	1
s644	doc1189807	1
s645	doc1189807	1
s646	doc1189807	1
s647	doc1189807	1
s648	doc1189807	1
s649	doc1189807	1
s650	doc256667	1
s651	doc256667	1
s652	doc256667	1
s653	doc256667	1
s654	doc256667	1
s655	doc256667	1
s656	doc256667	1
s657	doc256667	1
s658	doc256667	1
s659	doc256667	1
s660	doc1996806	1
s661	doc1996806	1
s662	doc1996806	1
s663	doc1996806	1
s664	doc1996806	1
s665	doc1996806	1
s666	doc1996806	1
s667	doc1996806	1
s668	doc1996806	1
s669	doc1996806	1
s670	doc1593024	1
s671	doc1593024	1
s672	doc1593024	1
s673	doc1593024	1
s674	doc1593024	1
s675	doc1593024	1
s676	doc1593024	1
s677	doc1593024	1
s678	doc1593024	1
s679	doc1593024	1
s680	doc1143763	1
s681	doc1143763	1
s682	doc1143763	1
s683	doc1143763	1
s684	doc1143763	1
s685	doc1143763	1
s686	doc1143763	1
s687	doc1143763	1
s688	doc1143763	1
s689	doc1143763	1
s690	doc139301	1
s691	doc139301	1
s692	doc139301	1
s693	doc139301	1
s694	doc139301	1
s695	doc139301	1
s696	doc139301	1
s697	doc139301	1
s698	doc139301	1
s699	doc139301	1
s700	doc1077957	1
s701	doc1077957	1
s702	doc1077957	1
s703	doc1077957	1
s704	doc1077957	1
s705	doc1077957	1
s706	doc1077957	1
s707	doc1077957	1
s708	doc1077957	1
s709	doc1077957	1
s710	doc925793	1
s711	doc925793	1
s712	doc925793	1
s713	doc925793	1
s714	doc925793	1
s715	doc925793	1
s716	doc925793	1
s717	doc925793	1
s718	doc925793	1
s719	doc925793	1
s720	doc325562	1
s721	doc325562	1
s722	doc325562	1
s723	doc325562	1
s724	doc325562	1
s725	doc325562	1
s726	doc325562	1
s727	doc325562	1
s728	doc325562	1
s729	doc325562	1
s730	doc437300	1
s731	doc437300	1
s732	doc437300	1
s733	doc437300	1
s734	doc437300	1
s735	doc437300	1
s736	doc437300	1
s737	doc437300	1
s738	doc437300	1
s739	doc437300	1
s740	doc390592	1
s741	doc390592	1
s742	doc390592	1
s743	doc390592	1
s744	doc390592	1
s745	doc390592	1
s746	doc390592	1
s747	doc390592	1
s748	doc390592	1
s749	doc390592	1
s750	doc393630	1
s751	doc393630	1
s752	doc393630	1
s753	doc393630	1
s754	doc393630	1
s755	doc393630	1
s756	doc393630	1
s757	doc393630	1
s758	doc393630	1
s759	doc393630	1
s760	doc94639	1
s761	doc94639	1
s762	doc94639	1
s763	doc94639	1
s764	doc94639	1
s765	doc94639	1
s766	doc94639	1
s767	doc94639	1
s768	doc94639	1
s769	doc94639	1
s770	doc213993	1
s771	doc213993	1
s772	doc213993	1
s773	doc213993	1
s774	doc213993	1
s775	doc213993	1
s776	doc213993	1
s777	doc213993	1
s778	doc213993	1
s779	doc213993	1
s780	doc8834	1
s781	doc8834	1
s782	doc8834	1
s783	doc8834	1
s784	doc8834	1
s785	doc8834	1
s786	doc8834	1
s787	doc8834	1
s788	doc8834	1
s789	doc8834	1
s790	doc434763	1
s791	doc434763	1
s792	doc434763	1
s793	doc434763	1
s794	doc434763	1
s795	doc434763	1
s796	doc434763	1
s797	doc434763	1
s798	doc434763	1
s799	doc434763	1
s800	doc197610	1
s801	doc197610	1
s802	doc197610	1
s803	doc197610	1
s804	doc197610	1
s805	doc197610	1
s806	doc197610	1
s807	doc197610	1
s808	doc197610	1
s809	doc197610	1
s810	doc520629	1
s811	doc520629	1
s812	doc520629	1
s813	doc520629	1
s814	doc520629	1
s815	doc520629	1
s816	doc520629	1
s817	doc520629	1
s818	doc520629	1
s819	doc520629	1
s820	doc1690337	1
s821	doc1690337	1
s822	doc1690337	1
s823	doc1690337	1
s824	doc1690337	1
s825	doc1690337	1
s826	doc1690337	1
s827	doc1690337	1
s828	doc1690337	1
s829	doc1690337	1
s830	doc1575644	1
s831	doc1575644	1
s832	doc1575644	1
s833	doc1575644	1
s834	doc1575644	1
s835	doc1575644	1
s836	doc1575644	1
s837	doc1575644	1
s838	doc1575644	1
s839	doc1575644	1
s840	doc238772	1
s841	doc238772	1
s842	doc238772	1
s843	doc238772	1
s844	doc238772	1
s845	doc238772	1
s846	doc238772	1
s847	doc238772	1
s848	doc238772	1
s849	doc238772	1
s850	doc1016458	1
s851	doc1016458	1
s852	doc1016458	1
s853	doc1016458	1
s854	doc1016458	1
s855	doc1016458	1
s856	doc1016458	1
s857	doc1016458	1
s858	doc1016458	1
s859	doc1016458	1
s860	doc59850	1
s861	doc59850	1
s862	doc59850	1
s863	doc59850	1
s864	doc59850	1
s865	doc59850	1
s866	doc59850	1
s867	doc59850	1
s868	doc59850	1
s869	doc59850	1
s870	doc2068144	1
s871	doc2068144	1
s872	doc2068144	1
s873	doc2068144	1
s874	doc2068144	1
s875	doc2068144	1
s876	doc2068144	1
s877	doc2068144	1
s878	doc2068144	1
s879	doc2068144	1
s880	doc779409	1
s881	doc779409	1
s882	doc779409	1
s883	doc779409	1
s884	doc779409	1
s885	doc779409	1
s886	doc779409	1
s887	doc779409	1
s888	doc779409	1
s889	doc779409	1
s890	doc106279	1
s891	doc106279	1
s892	doc106279	1
s893	doc106279	1
s894	doc106279	1
s895	doc106279	1
s896	doc106279	1
s897	doc106279	1
s898	doc106279	1
s899	doc106279	1
s900	doc324001	1
s901	doc324001	1
s902	doc324001	1
s903	doc324001	1
s904	doc324001	1
s905	doc324001	1
s906	doc324001	1
s907	doc324001	1
s908	doc324001	1
s909	doc324001	1
s910	doc745390	1
s911	doc745390	1
s912	doc745390	1
s913	doc745390	1
s914	doc745390	1
s915	doc745390	1
s916	doc745390	1
s917	doc745390	1
s918	doc745390	1
s919	doc745390	1
s920	doc927954	1
s921	doc927954	1
s922	doc927954	1
s923	doc927954	1
s924	doc927954	1
s925	doc927954	1
s926	doc927954	1
s927	doc927954	1
s928	doc927954	1
s929	doc927954	1
s930	doc1524517	1
s931	doc1524517	1
s932	doc1524517	1
s933	doc1524517	1
s934	doc1524517	1
s935	doc1524517	1
s936	doc1524517	1
s937	doc1524517	1
s938	doc1524517	1
s939	doc1524517	1
s940	doc1094538	1
s941	doc1094538	1
s942	doc1094538	1
s943	doc1094538	1
s944	doc1094538	1
s945	doc1094538	1
s946	doc1094538	1
s947	doc1094538	1
s948	doc1094538	1
s949	doc1094538	1
s950	doc150130	1
s951	doc150130	1
s952	doc150130	1
s953	doc150130	1
s954	doc150130	1
s955	doc150130	1
s956	doc150130	1
s957	doc150130	1
s958	doc150130	1
s959	doc150130	1
s960	doc932830	1
s961	doc932830	1
s962	doc932830	1
s963	doc932830	1
s964	doc932830	1
s965	doc932830	1
s966	doc932830	1
s967	doc932830	1
s968	doc932830	1
s969	doc932830	1
s970	doc157121	1
s971	doc157121	1
s972	doc157121	1
s973	doc157121	1
s974	doc157121	1
s975	doc157121	1
s976	doc157121	1
s977	doc157121	1
s978	doc157121	1
s979	doc157121	1
s980	doc2368811	1
s981	doc2368811	1
s982	doc2368811	1
s983	doc2368811	1
s984	doc2368811	1
s985	doc2368811	1
s986	doc2368811	1
s987	doc2368811	1
s988	doc2368811	1
s989	doc2368811	1
s990	doc485015	1
s991	doc485015	1
s992	doc485015	1
s993	doc485015	1
s994	doc485015	1
s995	doc485015	1
s996	doc485015	1
s997	doc485015	1
s998	doc485015	1
s999	doc485015	1